City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,vakarai,55.6035,23.8213,7.29,83,100,5.84,LT,1699383311
302,kudahuvadhoo,2.6708,72.8944,26.27,82,100,0.05,MV,1699383312
303,aasiaat,68.7098,-52.8699,-7.83,75,99,6.11,GL,1699383312
304,santa terezinha,-29.9002,-50.0904,21.0,75,0,8.77,BR,1699383312
305,villa gesell,-37.2639,-56.973,23.92,59,100,7.72,AR,1699383312
306,peniche,39.3558,-9.3811,15.31,67,95,3.16,PT,1699383313
307,el calafate,-50.3408,-72.2768,10.87,63,53,6.51,AR,1699383250
308,krasnohrad,49.3814,35.4402,8.44,76,8,3.01,UA,1699383313
309,fortuna,40.5982,-124.1573,15.52,86,0,0.45,US,1699383165
310,sirjan,29.452,55.6814,14.15,41,15,1.3,IR,1699383313
311,paraiso,9.8383,-83.8656,26.34,70,92,1.67,CR,1699383131
312,manta,-0.95,-80.7333,27.88,74,100,4.12,EC,1699383210
313,barcelos,41.5388,-8.6151,13.08,75,100,0.96,PT,1699383314
314,zaozersk,69.4005,32.4476,-0.86,85,100,3.5,RU,1699383314
315,mount gambier,-37.8333,140.7667,8.87,97,42,1.53,AU,1699383314
316,vorgashor,67.5833,63.95,0.21,99,100,2.86,RU,1699383315
317,kushtia,23.9011,89.1221,21.56,59,0,2.17,BD,1699383315
318,mar del plata,-38.0023,-57.5575,31.02,54,0,4.63,AR,1699383223
319,noshiro,40.2039,140.0242,9.93,66,100,6.58,JP,1699383156
320,galesong,-5.3166,119.3661,24.01,71,64,2.61,ID,1699383315
321,lichuan,30.3,108.85,8.73,89,14,0.59,CN,1699383315
322,baikonur,45.6167,63.3167,11.15,47,85,3.85,KZ,1699383316
323,moyynkum,44.2914,72.9469,13.69,46,100,3.6,KZ,1699383316
324,kati,12.7441,-8.0726,30.67,27,76,1.14,ML,1699383316
325,sola,-13.8833,167.55,25.37,94,100,4.12,VU,1699383317
326,waingapu,-9.6567,120.2641,26.46,78,13,0.58,ID,1699383317
327,turinskaya sloboda,57.6232,64.3858,-0.19,89,99,2.78,RU,1699383317
328,novoul'yanovsk,54.1496,48.3891,6.75,95,100,3.13,RU,1699383317
329,atar,20.5169,-13.0499,24.11,27,0,5.33,MR,1699383317
330,labytnangi,66.6572,66.4183,0.41,98,100,1.52,RU,1699383318
331,yeppoon,-23.1333,150.7333,19.88,79,41,5.98,AU,1699383318
332,khandud,36.9513,72.318,1.65,69,70,0.92,AF,1699383319
333,petrovsk-zabaykal'skiy,51.273,108.843,-9.94,82,100,4.74,RU,1699383319
334,belmonte,-15.8631,-38.8828,25.51,62,15,6.06,BR,1699383320
335,talnakh,69.4865,88.3972,-10.44,78,100,9.91,RU,1699383320
336,jeremie,18.65,-74.1167,28.88,75,68,3.48,HT,1699383320
337,bathsheba,13.2167,-59.5167,27.34,89,40,6.69,BB,1699383277
338,hankasalmi,62.3833,26.4333,2.17,100,100,1.03,FI,1699383320
339,yaren,-0.5472,166.916,29.09,75,100,6.84,NR,1699383321
340,nikolayevsk-on-amure,53.1406,140.73,-7.55,98,98,1.51,RU,1699383321
341,touros,-5.1989,-35.4608,27.92,62,99,6.56,BR,1699383131
342,gondar,12.6,37.4667,14.86,84,100,1.96,ET,1699383321
343,esmeraldas,-19.7625,-44.3139,30.17,24,0,1.95,BR,1699383269
344,recani,31.2846,-4.2688,17.82,25,0,10.33,MA,1699383322
345,saldanha,-33.0117,17.9442,16.03,79,100,5.91,ZA,1699383039
346,kijang,35.2442,129.2139,3.85,36,0,2.46,KR,1699383322
347,mont-laurier,46.5501,-75.4993,0.79,79,100,5.71,CA,1699383323
348,alegrete,-29.7831,-55.7919,30.79,60,0,5.09,BR,1699383323
349,awjilah,29.1081,21.2869,24.18,34,0,3.26,LY,1699383323
350,selfoss,63.9331,-20.9971,2.8,72,37,4.46,IS,1699383324
351,banda aceh,5.5577,95.3222,26.3,84,95,1.39,ID,1699383324
352,garissa,-0.4536,39.6401,26.36,81,100,6.98,KE,1699383262
353,kodinsk,58.6881,99.1844,-11.98,97,18,1.43,RU,1699383324
